predicted_eigen,actual_eigen,predicted_matmul,actual_matmul
13.240253,13.950550,7.125735,6.831731
13.805162,13.822803,7.125735,7.956731
13.688280,11.811813,8.208607,7.956731
11.701777,10.078983,8.208607,8.892170
9.948202,9.706044,9.083214,8.892170
9.589045,8.931319,9.083214,10.583792
8.876675,7.674451,10.687490,10.583792
7.819668,6.844093,10.687490,12.106457
7.160846,6.052885,12.228792,12.106457
6.512014,5.698489,12.228792,12.918270
6.197850,5.554258,13.069054,12.918270
6.063532,5.752060,13.069054,13.620879
6.246706,6.638050,13.776399,14.296703
6.996242,10.534341,14.415950,14.389423
10.398556,15.757556,14.499490,14.956044
15.271183,17.352337,14.984012,14.706731
16.242821,16.126373,14.776531,14.698489
15.523041,16.437500,14.769516,14.486264
15.722609,13.695055,14.585523,13.552885
13.569912,14.519231,13.709481,13.293270
14.305918,14.817995,13.450580,12.887363
14.555171,14.838599,13.037310,12.242445
14.571991,15.693682,12.369842,11.918957
15.225874,16.915524,12.034715,13.390110
16.006592,18.176512,13.547741,9.846154
16.631754,18.162088,9.977247,7.594093
16.625549,15.048764,7.864547,6.811127
14.740748,12.048764,7.105437,6.096154
11.944765,11.150413,6.389701,5.826236
11.022820,10.439561,6.113822,6.242445
10.303885,8.313187,6.537947,7.002748
8.342988,6.934753,7.293513,7.585852
7.232792,6.085852,7.856678,8.974588
6.540264,5.700550,9.159957,10.587913
6.199739,5.533654,10.691525,12.293957
6.043993,5.801511,12.423301,13.355083
6.291339,6.652472,13.512673,14.173078
7.007828,10.587913,14.302855,14.164836
10.452258,16.365385,14.295248,14.449177
15.677395,17.688187,14.552723,14.049451
16.409973,17.253435,14.187891,14.067995
16.191233,15.353709,14.205251,13.773352
14.976373,13.894918,13.924930,12.907968
13.754450,14.646978,13.058475,11.863325
14.413713,14.921017,11.977263,11.747940
14.638781,15.450550,11.858352,11.747940
15.048869,15.936813,11.858352,10.478709
15.395670,17.214287,10.584867,8.692308
16.170507,18.722528,8.897132,7.373627
16.851952,18.265110,7.653226,6.277472
16.669413,14.993133,6.573308,5.799450
14.696577,12.460852,6.086282,5.552198
12.364323,11.010303,5.830752,5.717033
10.879757,10.408654,6.001367,6.716346
10.273112,8.867445,7.011831,10.882555
8.820112,7.303572,10.982130,16.237637
7.524477,6.246566,15.896674,19.101650
6.676039,5.696429,17.092386,19.101650
6.195960,5.574862,17.092386,16.771292
6.082980,5.793269,16.200380,14.513050
6.283931,6.743132,14.609094,13.855770
7.080419,10.575550,14.004273,14.290523
10.439854,16.581732,14.410342,14.576923
15.811157,17.634617,14.664901,15.157968
16.384130,15.120880,15.145129,15.600962
14.797467,14.418270,15.476079,15.600962
14.219468,13.285028,15.476079,15.600962
13.180740,14.024726,15.476079,16.027473
13.872323,14.294643,15.764986,16.027473
14.112129,13.793957,15.764986,17.515110
13.661681,14.368819,16.555147,17.515110
14.176725,14.298764,16.555147,17.515110
14.115734,12.339287,16.555147,17.515110
12.241096,10.474588,16.555147,17.352337
10.338820,9.040522,16.483900,17.352337
8.974150,7.960852,16.483900,13.728023
8.051354,7.835165,13.881001,13.728023
7.949165,7.915522,13.881001,11.407968
8.014400,7.184066,11.510451,10.439561
7.429972,6.683379,10.546766,10.313873
7.032620,5.855083,10.424911,8.614012
6.339211,5.595467,8.824195,11.103022
6.102340,5.449176,11.202287,7.083105
5.962914,5.640797,7.371922,6.021978
6.144624,6.258929,6.314188,5.679945
6.686360,8.667583,5.963069,5.803572
8.645277,11.072116,6.090520,6.889423
10.942812,11.548077,7.182474,11.191622
11.430756,9.112638,11.291401,16.851650
9.039060,8.016483,16.242426,18.073490
8.096874,8.587225,16.774794,16.868134
8.575885,7.563187,16.250933,15.831732
7.730664,10.076923,15.636019,14.220468
9.946192,10.688873,14.346435,14.663462
10.553815,11.550138,14.739589,15.178572
11.432874,12.065248,15.161214,15.077610
11.961635,12.335165,15.081769,15.495880
12.236910,11.925138,15.400412,16.785715
11.818089,10.769231,16.207996,18.469093
10.634953,9.784341,16.909206,17.943682
9.663638,8.853022,16.726997,14.428572
8.807387,8.797390,14.534422,12.104396
8.758461,8.469780,12.226657,11.663462
8.475374,7.400413,11.771535,13.122253
7.601199,6.452610,13.277514,9.679258
6.846105,5.900412,9.819410,7.414835
6.379344,5.700550,7.692859,6.351648
6.199739,5.618132,6.648011,5.881868
6.123533,5.673764,6.170927,5.607830
6.175118,6.333105,5.888449,5.766483
6.747953,7.324176,6.052347,6.866758
7.540787,8.539835,7.160200,11.442995
8.535200,8.702610,11.546100,17.010303
8.675684,10.495193,16.322708,18.293957
10.359399,10.717720,16.851727,17.733517
10.582911,11.478022,16.645493,16.186127
11.358770,11.999313,15.865044,14.595468
11.894127,12.007555,14.680993,14.820055
11.902569,12.522665,14.871989,15.289836
12.426767,12.444368,15.246911,15.236264
12.347647,12.349588,15.205893,15.998627
12.251561,11.935440,15.746364,17.096840
11.828656,11.605770,16.365004,18.988325
11.490051,10.435440,17.062201,18.349588
10.299778,10.534341,16.870325,14.638737
10.398556,11.335852,14.718358,12.425825
11.212798,9.982143,12.560158,12.065248
9.854027,8.315248,12.186089,11.541896
8.344719,7.233517,11.647011,8.974588
7.469062,6.673077,9.159957,7.383929
7.024362,6.174451,7.663139,6.353709
6.615496,5.733517,6.650082,5.972528
6.229855,5.597528,6.263718,5.572802
6.104270,5.939560,5.852135,5.704670
6.413740,6.582417,5.988607,6.945055
6.951438,6.916209,7.237051,11.521292
7.218092,8.370879,11.625958,11.521292
8.391551,9.829670,11.625958,16.952610
9.707027,10.923764,16.293930,19.054260
10.791661,11.721154,17.079895,17.910715
11.608641,12.411402,16.714554,17.002060
12.314262,12.734890,16.318626,14.700550
12.639887,12.955358,14.771270,15.114698
12.858860,13.010989,15.111140,15.607143
12.913674,12.687500,15.480474,15.685440
12.592480,12.483517,15.535623,16.062500
12.387238,11.249313,15.787419,17.319368
11.124067,10.348902,16.469049,18.854397
10.213760,9.578297,17.025103,17.618134
9.468317,8.731457,16.598499,14.871567
8.700802,7.977335,14.914751,12.681319
8.064823,9.155907,12.824874,11.927198
9.078209,6.063187,12.043231,11.527473
6.520858,5.636676,11.632274,9.588599
6.140797,5.475962,9.734015,7.932006
5.988795,5.727335,8.185272,6.635989
6.224223,6.831731,6.932164,5.937500
7.151017,11.498627,6.227907,5.638736
11.379940,15.351649,5.920453,5.768544
14.974817,14.432693,6.054471,6.780220
14.231883,13.513737,7.074956,11.074177
13.399483,15.619506,11.173354,15.495880
15.172636,13.573489,15.400412,17.362638
13.455952,13.641484,16.488512,17.037088
13.519848,14.271978,16.335911,17.037088
14.092278,14.304946,16.335911,15.953298
14.121137,14.605770,15.716834,15.953298
14.379138,15.856457,15.716834,15.341347
15.340351,17.327610,15.285919,15.341347
16.230026,17.010303,15.285919,14.274039
16.059704,13.519918,14.395362,14.315248
13.405340,10.802198,14.432748,15.885303
10.668313,9.940934,15.671924,16.664150
9.814139,9.186813,16.142853,17.428572
9.106267,7.800138,16.517694,18.312500
7.920836,6.761676,16.857962,16.396292
7.095219,5.970467,15.991506,14.482143
6.440728,5.603709,14.581886,12.654533
6.110058,5.603709,12.797172,11.908654
6.110058,5.502748,12.024068,11.197803
6.014514,5.502748,11.297631,11.197803
6.014514,5.760302,11.297631,10.899038
6.254175,5.760302,10.998511,10.899038
6.254175,6.780220,10.998511,10.899038
7.110009,10.322116,10.998511,11.278160
10.187219,15.372253,11.378779,11.278160
14.990341,15.623627,11.378779,11.278160
15.175611,14.251374,11.378779,8.105083
14.074185,15.409341,8.348284,8.105083
15.018158,13.894918,8.348284,8.105083
13.754450,13.705358,8.348284,6.561813
13.579512,14.416209,6.858377,6.561813
14.217692,14.684067,6.858377,6.561813
14.444673,15.359891,6.858377,6.052885
14.981036,16.678572,6.345680,6.052885
15.869214,18.034342,6.345680,6.052885
